slug,type,state,primary_keyword,title,h1,word_count,faq_count,in_wave_states,in_wave_top200
alabama,state,Alabama,send flowers to Alabama,"Send Flowers, Cakes & Gifts to Alabama | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Alabama",146,3,True,False
alaska,state,Alaska,send flowers to Alaska,"Send Flowers, Cakes & Gifts to Alaska | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Alaska",131,3,True,False
arizona,state,Arizona,send flowers to Arizona,"Send Flowers, Cakes & Gifts to Arizona | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Arizona",132,3,True,False
arkansas,state,Arkansas,send flowers to Arkansas,"Send Flowers, Cakes & Gifts to Arkansas | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Arkansas",131,3,True,False
california,state,California,send flowers to California,"Send Flowers, Cakes & Gifts to California | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to California",141,3,True,False
colorado,state,Colorado,send flowers to Colorado,"Send Flowers, Cakes & Gifts to Colorado | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Colorado",126,3,True,False
connecticut,state,Connecticut,send flowers to Connecticut,"Send Flowers, Cakes & Gifts to Connecticut | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Connecticut",148,3,True,False
delaware,state,Delaware,send flowers to Delaware,"Send Flowers, Cakes & Gifts to Delaware | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Delaware",131,3,True,False
florida,state,Florida,send flowers to Florida,"Send Flowers, Cakes & Gifts to Florida | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Florida",132,3,True,False
georgia,state,Georgia,send flowers to Georgia,"Send Flowers, Cakes & Gifts to Georgia | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Georgia",127,3,True,False
hawaii,state,Hawaii,send flowers to Hawaii,"Send Flowers, Cakes & Gifts to Hawaii | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Hawaii",134,3,True,False
idaho,state,Idaho,send flowers to Idaho,"Send Flowers, Cakes & Gifts to Idaho | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Idaho",125,3,True,False
illinois,state,Illinois,send flowers to Illinois,"Send Flowers, Cakes & Gifts to Illinois | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Illinois",146,3,True,False
indiana,state,Indiana,send flowers to Indiana,"Send Flowers, Cakes & Gifts to Indiana | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Indiana",135,3,True,False
iowa,state,Iowa,send flowers to Iowa,"Send Flowers, Cakes & Gifts to Iowa | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Iowa",137,3,True,False
kansas,state,Kansas,send flowers to Kansas,"Send Flowers, Cakes & Gifts to Kansas | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Kansas",131,3,True,False
kentucky,state,Kentucky,send flowers to Kentucky,"Send Flowers, Cakes & Gifts to Kentucky | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Kentucky",136,3,True,False
louisiana,state,Louisiana,send flowers to Louisiana,"Send Flowers, Cakes & Gifts to Louisiana | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Louisiana",128,3,True,False
maine,state,Maine,send flowers to Maine,"Send Flowers, Cakes & Gifts to Maine | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Maine",146,3,True,False
maryland,state,Maryland,send flowers to Maryland,"Send Flowers, Cakes & Gifts to Maryland | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Maryland",133,3,True,False
massachusetts,state,Massachusetts,send flowers to Massachusetts,"Send Flowers, Cakes & Gifts to Massachusetts | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Massachusetts",131,3,True,False
michigan,state,Michigan,send flowers to Michigan,"Send Flowers, Cakes & Gifts to Michigan | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Michigan",131,3,True,False
minnesota,state,Minnesota,send flowers to Minnesota,"Send Flowers, Cakes & Gifts to Minnesota | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Minnesota",136,3,True,False
mississippi,state,Mississippi,send flowers to Mississippi,"Send Flowers, Cakes & Gifts to Mississippi | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Mississippi",123,3,True,False
missouri,state,Missouri,send flowers to Missouri,"Send Flowers, Cakes & Gifts to Missouri | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Missouri",150,3,True,False
montana,state,Montana,send flowers to Montana,"Send Flowers, Cakes & Gifts to Montana | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Montana",133,3,True,False
nebraska,state,Nebraska,send flowers to Nebraska,"Send Flowers, Cakes & Gifts to Nebraska | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Nebraska",130,3,True,False
nevada,state,Nevada,send flowers to Nevada,"Send Flowers, Cakes & Gifts to Nevada | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Nevada",133,3,True,False
new-hampshire,state,New Hampshire,send flowers to New Hampshire,"Send Flowers, Cakes & Gifts to New Hampshire | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to New Hampshire",138,3,True,False
new-jersey,state,New Jersey,send flowers to New Jersey,"Send Flowers, Cakes & Gifts to New Jersey | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to New Jersey",130,3,True,False
new-mexico,state,New Mexico,send flowers to New Mexico,"Send Flowers, Cakes & Gifts to New Mexico | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to New Mexico",155,3,True,False
new-york,state,New York,send flowers to New York,"Send Flowers, Cakes & Gifts to New York | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to New York",142,3,True,False
north-carolina,state,North Carolina,send flowers to North Carolina,"Send Flowers, Cakes & Gifts to North Carolina | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to North Carolina",137,3,True,False
north-dakota,state,North Dakota,send flowers to North Dakota,"Send Flowers, Cakes & Gifts to North Dakota | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to North Dakota",133,3,True,False
ohio,state,Ohio,send flowers to Ohio,"Send Flowers, Cakes & Gifts to Ohio | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Ohio",134,3,True,False
oklahoma,state,Oklahoma,send flowers to Oklahoma,"Send Flowers, Cakes & Gifts to Oklahoma | Same-Day Delivery | BlossomPot","Send Flowers, Cakes & Gifts to Oklahoma",126,3,True,False
